0	5	10	14	15	17	19	25	30	31	32	33	37	46	47	55	63	65	70	75	78	85	87
cg25641145	0.5687931	0.5628387	0.3846263	0.4328406	0.5051721	0.5604933	0.5331432	0.5651506	0.5637544	0.4941151	0.5464954	0.5201485	0.4829966	0.3994406	0.4708174	0.4213404	0.5439524	0.5306867	0.4559558	0.5573351	0.5306451	0.5525841
cg11374834	0.4249492	0.4326136	0.3661005	0.5090741	0.4703129	0.3717391	0.4908593	0.422092	0.4458733	0.4419161	0.4229448	0.4298266	0.4720058	0.451142	0.4499527	0.4115758	0.3881576	0.4342945	0.4406353	0.4914007	0.4084991	0.4373553
cg07143815	0.3911974	0.4072978	0.3089502	0.3483755	0.3193958	0.4868785	0.2267051	0.4015708	0.3203267	0.3150727	0.3489811	0.358314	0.3343988	0.297984	0.4047996	0.4336771	0.378096	0.345211	0.3530068	0.281096	0.357842	0.2528911
cg11912215	0.6373922	0.6303846	0.5858843	0.5734522	0.644006	0.6245191	0.6062878	0.6328683	0.6121216	0.6186904	0.6287623	0.6124296	0.6618629	0.5910524	0.6224292	0.5937279	0.6858918	0.566655	0.5908126	0.6391927	0.6749918	0.6602048
cg00399027	0.4690432	0.5351614	0.4676999	0.4935702	0.4880015	0.5222582	0.4322719	0.5105321	0.5317599	0.4933607	0.3935154	0.4801464	0.5421483	0.4777111	0.5747094	0.6276259	0.5012978	0.4693958	0.5001895	0.4731947	0.5112524	0.4193718
cg24304714	0.3029692	0.4771626	0.5243248	0.4071915	0.4734618	0.4427811	0.4745285	0.4488426	0.4466998	0.4568836	0.430152	0.487588	0.4800588	0.4146124	0.4627062	0.4419474	0.5395821	0.4934539	0.4476714	0.5021046	0.4983881	0.4373425
cg10505257	0.6773182	0.6844009	0.6281731	0.6640583	0.6845003	0.6256343	0.605499	0.6307257	0.6827758	0.6662748	0.5443471	0.642371	0.6375022	0.658911	0.7262657	0.7754456	0.6386355	0.5430998	0.6378541	0.6420255	0.5860019	0.6582936
cg01279413	0.6001868	0.667862	0.5816119	0.5477993	0.6310651	0.6176407	0.6020885	0.6448348	0.6178066	0.6320583	0.6854213	0.6834396	0.6527877	0.6330369	0.6543124	0.5652478	0.727326	0.6828418	0.5780999	0.6638388	0.6735172	0.6696378
cg21393387	0.5875493	0.6527864	0.6151133	0.5497594	0.6328491	0.6009008	0.6165314	0.6285148	0.6250605	0.6136307	0.6186976	0.6434035	0.6433121	0.6166255	0.639644	0.5911971	0.7121716	0.6373768	0.6003335	0.6485861	0.6348283	0.657033
